Remaining Points,Solution 1,Solution 2,Solution 3,Solution 4,Solution 5,Solution 6,Solution 7,Solution 8,Solution 9,Solution 10,Solution 11,Solution 12,Solution 13,Solution 14,Solution 15,Solution 16,Solution 17,Solution 18,Solution 19,Solution 20,Solution 21,Solution 22,Solution 23,Solution 24,Solution 25,Solution 26,Solution 27,Solution 28,Solution 29,Solution 30,Solution 31,Solution 32,Solution 33,Solution 34,Solution 35,Solution 36
70, D10 D25, T10 D20, T12 D17, T14 D14, D15 D20, D16 D19, T16 D11, D17 D18, D18 D17, T18 D8, D19 D16, S20 D25, D20 D15, T20 D5, D25 D10,,,,,,,,,,,,,,,,,,,,,
71, T7 D25, T11 D19, T13 D16, T15 D13, T17 D10, T19 D7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72, D11 D25, T12 D18, T14 D15, D16 D20, T16 D12, D17 D19, D18 D18, T18 D9, D19 D17, D20 D16, T20 D6, D25 D11,,,,,,,,,,,,,,,,,,,,,,,,
73, T11 D20, T13 D17, T15 D14, T17 D11, T19 D8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74, T8 D25, D12 D25, T12 D19, T14 D16, T16 D13, D17 D20, D18 D19, T18 D10, D19 D18, D20 D17, T20 D7, D25 D12,,,,,,,,,,,,,,,,,,,,,,,,
75, T13 D18, T15 D15, T17 D12, T19 D9, S25 D25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76, T12 D20, D13 D25, T14 D17, T16 D14, D18 D20, T18 D11, D19 D19, D20 D18, T20 D8, D25 D13,,,,,,,,,,,,,,,,,,,,,,,,,,
77, T9 D25, T13 D19, T15 D16, T17 D13, T19 D10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78, D14 D25, T14 D18, T16 D15, T18 D12, D19 D20, D20 D19, T20 D9, D25 D14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79, T13 D20, T15 D17, T17 D14, T19 D11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80, T10 D25, T14 D19, D15 D25, T16 D16, T18 D13, D20 D20, T20 D10, D25 D15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81, T15 D18, T17 D15, T19 D12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82, T14 D20, D16 D25, T16 D17, T18 D14, T20 D11, D25 D16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83, T11 D25, T15 D19, T17 D16, T19 D13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84, T16 D18, D17 D25, T18 D15, T20 D12, D25 D17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85, T15 D20, T17 D17, T19 D14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86, T12 D25, T16 D19, D18 D25, T18 D16, T20 D13, D25 D18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87, T17 D18, T19 D15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88, T16 D20, T18 D17, D19 D25, T20 D14, D25 D19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89, T13 D25, T17 D19, T19 D16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90, T18 D18, D20 D25, T20 D15, D25 D20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91, T17 D20, T19 D17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92, T14 D25, T18 D19, T20 D16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93, T19 D18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94, T18 D20, T20 D17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95, T15 D25, T19 D19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96, T20 D18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97, T19 D20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98, T16 D25, T20 D19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100, T20 D20, D25 D25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101, T17 D25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104, T18 D25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107, T19 D25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110, T20 D25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
